unit_id_ent,unit_id_plt,plant_id_gppd
11WD7HERN2S--4-X,1119205.0,WRI1005904
11WD7WSFN1S--E-Z,1194958.0,WRI1006141
17W100P100P00032,1113900.0,WRI1002725
17W100P100P0009R,1116249.0,WRI1002760
17W100P100P0018Q,1110698.0,WRI1002713
49W000000000030A,1130353.0,WRI1019295
49W000000000030A,1130353.0,WRI1019296
49W0000000000326,1195215.0,WRI1019295
49W0000000000326,1195215.0,WRI1019296
16WSINES3------0,1148460.0,WRI1023227
19W000000000178Q,1144416.0,WRI1019033
19W000000000188N,1148693.0,WRI1019052
44W-T-YT-100001J,1118497.0,WRI1002325
18WBES4-12345-CY,1171322.0,WRI1006249
18WBRR1-12345-DS,1129696.0,WRI1006636
18WMALA1-1234567,1100268.0,WRI1006159
19W000000000086V,1126413.0,WRI1019051
19W000000000089P,1126414.0,WRI1019051
19W000000000093Y,1126415.0,WRI1019051
32W001100100007O,1106328.0,WRI1008057
